Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
FACULDADE CAPITAL FEDERAL;FECAF;Privada com fins lucrativos;1454503;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;13/03/2020;15/07/2019;Em Atividade
Faculdade AGES de Senhor do Bonfim;Faculdade AGES;Privada com fins lucrativos;1501439;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;Não iniciado;06/10/2021;Em Atividade
Faculdade AGES de Jacobina;Faculdade AGES;Privada com fins lucrativos;1502331;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;Não iniciado;04/10/2021;Em Atividade
UNIVERSIDADE DE TAUBATÉ;UNITAU;Pública Municipal;5001182;APICULTURA E MELIPONICULTURA;A Distância;-;08/02/2014;19/09/2013;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1427429;AQÜICULTURA;Presencial;-;06/12/2019;09/01/2018;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1548987;ARQUITETURA DE DADOS;A Distância;-;08/02/2021;17/09/2020;Em Atividade
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Pública Federal;1404699;ARTES DO ESPETÁCULO;Presencial;-;25/03/2019;16/07/2018;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1589528;ARTES VISUAIS;A Distância;-;09/08/2021;09/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484114;ASSESSORIA EXECUTIVA DIGITAL;A Distância;-;03/04/2019;01/04/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1516591;AUDITORIA EM SAÚDE;A Distância;-;10/02/2020;29/11/2019;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1300408;AUTOMAÇÃO INDUSTRIAL;A Distância;-;Não iniciado;22/07/2014;Extinto
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1575500;AUTOMAÇÃO INDUSTRIAL;A Distância;-;02/08/2021;20/04/2021;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1457318;AUTOMAÇÃO INDUSTRIAL;Presencial;-;29/11/2018;01/11/2018;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1576339;AUTOMAÇÃO INDUSTRIAL;A Distância;-;02/08/2021;01/06/2021;Em Atividade
Faculdade Área1 Wyden;Área1 Wyden;Privada com fins lucrativos;1070725;AUTOMAÇÃO INDUSTRIAL;Presencial;4;22/04/2016;06/04/2016;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1595837;AUTOMAÇÃO INDUSTRIAL;A Distância;-;14/02/2022;29/09/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1575243;AUTOMAÇÃO INDUSTRIAL;A Distância;-;17/05/2021;17/05/2021;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1473786;AUTOMAÇÃO INDUSTRIAL;A Distância;-;06/03/2020;21/01/2019;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1300414;BANCO DE DADOS;A Distância;-;Não iniciado;22/07/2014;Extinto
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1485748;BANCO DE DADOS;A Distância;-;14/06/2019;14/06/2019;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1382765;BANCO DE DADOS;A Distância;4;01/02/2017;14/12/2016;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1550797;BANCO DE DADOS;A Distância;-;08/03/2021;19/11/2020;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1602876;BANCO DE DADOS;Presencial;-;Não iniciado;12/05/2022;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1382693;BANCO DE DADOS;A Distância;4;01/02/2017;19/10/2016;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1382691;BANCO DE DADOS;A Distância;4;01/02/2017;17/10/2016;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1484996;BANCO DE DADOS;A Distância;-;07/05/2019;06/05/2019;Em Atividade
Centro Universitário das Américas;CAM;Privada com fins lucrativos;1487061;BANCO DE DADOS;A Distância;-;05/08/2019;01/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1487952;BANCO DE DADOS;A Distância;-;30/06/2019;16/10/2019;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596892;BANCO DE DADOS;A Distância;-;19/11/2021;19/11/2021;Em Atividade
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1524036;BANCO DE DADOS;A Distância;-;02/03/2020;17/02/2020;Em Atividade
Faculdade Unyleya;-;Privada com fins lucrativos;1390495;BANCO DE DADOS;A Distância;4;06/08/2019;31/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1524052;BANCO DE DADOS;A Distância;-;03/08/2020;17/02/2020;Em Atividade
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1599926;BANCO DE DADOS E ARMAZENAMENTO DE BIG DATA;A Distância;-;19/02/2022;02/02/2022;Em Atividade
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;97053;BELEZA, ESTÉTICA E IMAGEM PESSOAL;Presencial;-;28/08/2006;02/08/2006;Extinto
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1485004;BIG DATA E INTELIGÊNCIA ANALÍTICA;A Distância;-;18/02/2019;12/04/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1565262;BIG DATA E INTELIGÊNCIA ANALÍTICA;A Distância;-;01/02/2021;15/01/2021;Em Atividade
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1542115;BIG DATA E INTELIGÊNCIA ANALÍTICA;A Distância;-;18/07/2020;17/07/2020;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1484102;BIG DATA E INTELIGÊNCIA ANALÍTICA;A Distância;-;22/07/2019;19/03/2019;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1175402;BIOCOMBUSTÍVEIS;Presencial;4;01/12/2014;28/05/2014;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1575926;BLOCKCHAIN, CRIPTOMOEDAS E FINANÇAS NA ERA DIGITAL;A Distância;-;02/08/2021;07/05/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484113;BLOCKCHAIN, CRIPTOMOEDAS E FINANÇAS NA ERA DIGITAL;A Distância;-;03/04/2019;01/04/2019;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1575597;BLOCKCHAIN E CRIPTOGRAFIA DIGITAL;A Distância;-;Não iniciado;09/04/2021;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1549944;CIBERSEGURANÇA;A Distância;-;08/02/2021;17/09/2020;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1598380;CIÊNCIA DA FELICIDADE;A Distância;-;21/02/2022;03/09/2021;Em Atividade
UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE;Privada sem fins lucrativos;1595446;CIÊNCIA DE DADOS;A Distância;-;Não iniciado;04/11/2021;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1596097;CIÊNCIA DE DADOS;A Distância;-;Não iniciado;26/10/2021;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1518220;CIÊNCIA DE DADOS;A Distância;-;16/03/2020;03/02/2020;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1473088;CIÊNCIA DE DADOS;A Distância;-;01/02/2019;30/10/2018;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1473184;CIÊNCIA DE DADOS;A Distância;-;01/02/2019;30/10/2018;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1481978;CIÊNCIA DE DADOS;A Distância;-;01/02/2019;05/11/2018;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1516433;CIÊNCIA DE DADOS;A Distância;-;01/10/2019;01/10/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1516586;CIÊNCIA DE DADOS;A Distância;-;10/02/2020;05/11/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1500138;CIÊNCIA DE DADOS;A Distância;-;26/08/2019;26/08/2019;Em Atividade
Centro Universitário Joaquim Nabuco de Recife;UNINABUCO RECIFE;Privada com fins lucrativos;1542378;CIÊNCIA DE DADOS;A Distância;-;16/09/2020;20/07/2020;Em Atividade
UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada sem fins lucrativos;1525795;CIÊNCIA DE DADOS E BIG DATA;A Distância;-;18/02/2020;17/10/2019;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1549931;CIÊNCIAS DE DADOS;A Distância;-;08/02/2021;17/09/2020;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1565257;CIÊNCIAS DE DADOS;A Distância;-;01/02/2021;15/01/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1556798;CIÊNCIAS DE DADOS E ANÁLISE DE COMPORTAMENTO;A Distância;-;25/02/2021;02/10/2020;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1484491;COACH DIGITAL;Presencial;-;Não iniciado;03/04/2019;Extinto
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1486090;COACH DIGITAL;A Distância;-;25/03/2021;13/05/2019;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1562884;COACHING E DESENVOLVIMENTO HUMANO;A Distância;-;22/02/2021;04/02/2021;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1576060;COACHING E DESENVOLVIMENTO HUMANO;A Distância;-;02/08/2021;07/05/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1575745;COACHING E DESENVOLVIMENTO HUMANO;A Distância;-;12/04/2021;12/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1477697;COACHING E DESENVOLVIMENTO HUMANO;A Distância;-;29/03/2019;15/03/2019;Em Atividade
UNIVERSIDADE TIRADENTES;UNIT;Privada com fins lucrativos;1562737;COACHING E MENTORING;A Distância;-;Não iniciado;07/01/2021;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1484492;COACHING E MENTORING;Presencial;-;Não iniciado;03/04/2019;Extinto
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1486095;COACHING E MENTORING;A Distância;-;04/07/2019;13/05/2019;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1484493;CODING;Presencial;-;Não iniciado;04/04/2019;Em Extinção
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1486083;CODING;A Distância;-;25/03/2021;13/05/2019;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1485625;COMÉRCIO EXTERIOR;A Distância;-;08/05/2021;10/05/2019;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1177033;COMÉRCIO EXTERIOR;A Distância;5;09/08/2011;22/07/2010;Em Atividade
UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada sem fins lucrativos;1452957;COMÉRCIO EXTERIOR;A Distância;-;Não iniciado;29/08/2018;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1382767;COMÉRCIO EXTERIOR;A Distância;5;01/02/2017;14/12/2016;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1541389;COMÉRCIO EXTERIOR;A Distância;-;10/08/2020;03/08/2020;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1517532;COMÉRCIO EXTERIOR;A Distância;-;Não iniciado;-;Extinto
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1455357;COMÉRCIO EXTERIOR;A Distância;-;11/02/2019;26/09/2018;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1382602;COMÉRCIO EXTERIOR;A Distância;5;26/01/2017;15/06/2016;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1550791;COMÉRCIO EXTERIOR;A Distância;-;08/03/2021;19/11/2020;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1429867;COMÉRCIO EXTERIOR;A Distância;-;19/02/2018;22/09/2017;Em Atividade
UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Privada sem fins lucrativos;1172572;COMÉRCIO EXTERIOR;A Distância;4;30/01/2012;27/09/2011;Em Atividade
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;106264;COMÉRCIO EXTERIOR;A Distância;4;24/02/2007;28/11/2006;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1382694;COMÉRCIO EXTERIOR;A Distância;-;01/02/2017;19/10/2016;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1428310;COMÉRCIO EXTERIOR;A Distância;-;19/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;107319;COMÉRCIO EXTERIOR;A Distância;-;05/02/2007;07/07/2005;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1382692;COMÉRCIO EXTERIOR;A Distância;5;01/02/2017;17/10/2016;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;1204356;COMÉRCIO EXTERIOR;A Distância;-;01/02/2018;04/02/2013;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1456942;COMÉRCIO EXTERIOR;A Distância;-;11/02/2019;26/09/2018;Em Atividade
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;1481782;COMÉRCIO EXTERIOR;A Distância;5;12/02/2019;12/02/2019;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1519810;COMÉRCIO EXTERIOR;A Distância;-;03/02/2020;10/01/2020;Em Atividade
UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES;Privada sem fins lucrativos;1515529;COMÉRCIO EXTERIOR;A Distância;-;10/02/2020;02/10/2019;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139909;COMÉRCIO EXTERIOR;Presencial;-;05/02/2010;20/01/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161849;COMÉRCIO EXTERIOR;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1589857;COMÉRCIO EXTERIOR;A Distância;-;09/08/2021;09/08/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1595964;COMÉRCIO EXTERIOR;A Distância;-;21/02/2022;03/09/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1328865;COMÉRCIO EXTERIOR;A Distância;3;04/03/2015;27/02/2015;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1166185;COMÉRCIO EXTERIOR;A Distância;4;23/07/2010;23/07/2010;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487583;COMÉRCIO EXTERIOR;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;65428;COMÉRCIO EXTERIOR;A Distância;-;24/07/2003;24/07/2003;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1379277;COMÉRCIO EXTERIOR;A Distância;-;09/02/2017;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596581;COMÉRCIO EXTERIOR;A Distância;-;19/11/2021;19/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;68786;COMÉRCIO EXTERIOR;Presencial;-;03/06/2006;14/01/2004;Extinto
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465686;COMÉRCIO EXTERIOR;A Distância;-;04/01/2019;04/01/2019;Em Atividade
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1321878;COMÉRCIO EXTERIOR;A Distância;5;09/02/2015;28/04/2014;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1575748;COMÉRCIO EXTERIOR;A Distância;-;31/05/2021;12/04/2021;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1548993;COMPUTAÇÃO EM NUVEM;A Distância;-;08/02/2021;17/09/2020;Em Atividade
Universidade Universus Veritas Guarulhos;Univeritas UNG;Privada sem fins lucrativos;1575652;COMPUTAÇÃO EM NUVEM;A Distância;-;Não iniciado;19/04/2021;Em Atividade
UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada sem fins lucrativos;1605491;COMUNICAÇÃO DIGITAL E REDES SOCIAIS;A Distância;-;Não iniciado;18/05/2022;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;79508;COMUNICAÇÃO E ILUSTRAÇÃO DIGITAL;Presencial;-;10/08/2009;17/11/2004;Extinto
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;79518;COMUNICAÇÃO EMPRESARIAL;Presencial;-;10/08/2009;17/11/2004;Extinto
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1498000;COMUNICAÇÃO INSTITUCIONAL;A Distância;-;26/08/2019;19/08/2019;Em Atividade
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;5001287;COMUNICAÇÃO INSTITUCIONAL;A Distância;4;07/04/2014;25/11/2013;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1519921;COMUNICAÇÃO INSTITUCIONAL;A Distância;-;01/02/2021;-;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;104592;COMUNICAÇÃO INSTITUCIONAL;Presencial;-;02/02/2010;15/06/2007;Extinto
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1498708;COMUNICAÇÃO INSTITUCIONAL;A Distância;-;26/08/2019;26/08/2019;Em Atividade
Centro Universitário das Américas;CAM;Privada com fins lucrativos;1537546;COMUNICAÇÃO INSTITUCIONAL;A Distância;-;03/08/2020;01/06/2020;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1457471;COMUNICAÇÃO INSTITUCIONAL;A Distância;5;11/02/2019;03/10/2018;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1596101;COMUNICAÇÃO INSTITUCIONAL;A Distância;-;14/02/2022;11/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1498810;COMUNICAÇÃO INSTITUCIONAL;A Distância;-;16/03/2020;26/08/2019;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;79510;COMUNICAÇÃO PARA WEB;Presencial;-;01/08/2009;17/11/2004;Extinto
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1330951;CONSTRUÇÃO DE EDIFÍCIOS;Presencial;-;Não iniciado;12/06/2017;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1140242;CONSTRUÇÃO DE EDIFÍCIOS;Presencial;-;Não iniciado;20/09/2010;Extinto
FACULDADE UNINASSAU VITÓRIA DA CONQUISTA;-;Privada com fins lucrativos;1259964;CONSTRUÇÃO DE EDIFÍCIOS;Presencial;-;05/10/2015;05/10/2015;Extinto
Faculdade Área1 Wyden;Área1 Wyden;Privada com fins lucrativos;1178771;CONSTRUÇÃO DE EDIFÍCIOS;Presencial;-;10/11/2017;10/11/2017;Extinto
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1483679;CONSTRUÇÃO DE EDIFÍCIOS;A Distância;-;10/02/2020;19/03/2019;Em Atividade
Centro Universitário Fanor Wyden;UniFanor Wyden;Privada com fins lucrativos;1172355;CONSTRUÇÃO DE EDIFÍCIOS;A Distância;-;27/07/2015;08/08/2014;Extinto
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1311674;CONSTRUÇÃO DE EDIFÍCIOS;A Distância;4;07/03/2016;02/03/2016;Em Atividade
FACULDADE UNINASSAU LAURO DE FREITAS;-;Privada com fins lucrativos;1280372;CONSTRUÇÃO DE EDIFÍCIOS;Presencial;-;16/11/2015;16/11/2015;Extinto
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1156356;CONSTRUÇÃO DE EDIFÍCIOS;Presencial;-;09/12/2013;28/12/2012;Extinto
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1191552;CONSTRUÇÃO NAVAL;Presencial;3;30/05/2014;30/05/2014;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1258997;CONTROLE DE OBRAS;Presencial;3;Não iniciado;09/05/2016;Em Extinção
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1483680;CONTROLE DE OBRAS;A Distância;-;10/02/2020;19/03/2019;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1520132;CONTROLE DE OBRAS;A Distância;-;06/03/2020;-;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1441039;COSMÉTICOS;Presencial;-;12/11/2020;04/04/2018;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1442999;COZINHA CONTEMPORÂNEA;A Distância;-;16/05/2018;16/05/2018;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1443015;COZINHA CONTEMPORÂNEA;A Distância;-;16/05/2018;09/05/2018;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1443000;COZINHA CONTEMPORÂNEA;A Distância;-;06/08/2018;18/05/2018;Em Atividade
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;90117;CURSO SUPERIOR DE TECNOLOGIA EM LABORATORISTA PARA ANÁLISES CLÍNICAS;Presencial;-;01/02/2006;-;Extinto
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1484494;DATA SCIENCE;Presencial;-;Não iniciado;03/04/2019;Em Extinção
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1485389;DATA SCIENCE;A Distância;-;17/06/2019;14/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1486084;DATA SCIENCE;A Distância;-;Não iniciado;13/05/2019;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1485772;DEFESA CIBERNÉTICA;A Distância;-;14/06/2019;14/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1484997;DEFESA CIBERNÉTICA;A Distância;-;07/05/2019;06/05/2019;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487591;DEFESA CIBERNÉTICA;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1485861;DEFESA CIBERNÉTICA;A Distância;-;16/03/2020;27/05/2019;Em Atividade
Faculdade Unirb - Feira de Santana;F. UNIRB;Privada com fins lucrativos;1404289;DEFESA CIBERNÉTICA;Presencial;4;28/11/2019;15/08/2019;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1364441;DEFESA CIBERNÉTICA;Presencial;-;31/03/2017;31/03/2017;Em Atividade
